dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,model_seed,n_train,n_test,spearman,r2,mse,top5_precision,top5_mean_true,mean_true,top5_enrich_diff,top5_enrich_ratio
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,128,,2,6902,1726,0.823041522745741,0.6532573699951172,0.03842191398143768,0.2413793103448276,0.9209715723991394,0.5158746838569641,0.4050968885421753,1.7852621987833308
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,128,,3,6902,1726,0.8201914219702071,0.6495659351348877,0.0388309583067894,0.21839080459770116,0.9234133958816528,0.5158746838569641,0.4075387120246887,1.7899955643833967
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,xgb,128,,4,6902,1726,0.8227900596362934,0.6508504152297974,0.03868862986564636,0.22988505747126436,0.918067216873169,0.5158746838569641,0.40219253301620483,1.779632235505707
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,0.0,0,6902,1726,0.8701458413279355,0.759311318397522,0.026670273393392563,0.3333333333333333,0.9334468841552734,0.5158746838569641,0.4175722002983093,1.8094450326120075
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,5000.0,0,6902,1726,0.8533472960302206,0.7311025857925415,0.02979603223502636,0.3103448275862069,0.9312604069709778,0.5158746838569641,0.41538572311401367,1.8052066443896035
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,5000.0,1,6902,1726,0.855506110424677,0.7338082790374756,0.029496220871806145,0.3333333333333333,0.9332150816917419,0.5158746838569641,0.41734039783477783,1.808995693904788
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,5000.0,2,6902,1726,0.8523617794398218,0.7256569862365723,0.030399451032280922,0.2988505747126437,0.9373950362205505,0.5158746838569641,0.4215203523635864,1.8170983487929033
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,5000.0,3,6902,1726,0.8561495532475457,0.734621524810791,0.02940610609948635,0.3333333333333333,0.9337416887283325,0.5158746838569641,0.4178670048713684,1.8100164980905127
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed1,tabpfn,128,5000.0,4,6902,1726,0.8565808302344431,0.7351336479187012,0.02934936061501503,0.3448275862068966,0.9384116530418396,0.5158746838569641,0.4225369691848755,1.8190690150285254
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,64,,0,6902,1726,0.7944814980199522,0.6109330654144287,0.04457617551088333,0.28735632183908044,0.9211127758026123,0.5102192163467407,0.4108935594558716,1.8053274872670255
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,64,,1,6902,1726,0.7939432804530021,0.6093755960464478,0.044754620641469955,0.3333333333333333,0.9265499114990234,0.5102192163467407,0.4163306951522827,1.8159839571180476
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,64,,2,6902,1726,0.7988559939062797,0.6158205270767212,0.04401621222496033,0.27586206896551724,0.9134811162948608,0.5102192163467407,0.4032618999481201,1.7903698783349364
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,64,,3,6902,1726,0.7985897381629684,0.6151797771453857,0.04408962279558182,0.3218390804597701,0.9263383746147156,0.5102192163467407,0.41611915826797485,1.8155693571235147
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,64,,4,6902,1726,0.7980725315740093,0.6135535836219788,0.04427593946456909,0.3333333333333333,0.9396399259567261,0.5102192163467407,0.42942070960998535,1.841639624404414
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,0.0,0,6902,1726,0.849583829831849,0.7237502336502075,0.03165049105882645,0.3448275862068966,0.9413716793060303,0.5102192163467407,0.43115246295928955,1.845033760285269
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,5000.0,0,6902,1726,0.8298318862128236,0.686924934387207,0.03586963191628456,0.3103448275862069,0.9332640171051025,0.5102192163467407,0.4230448007583618,1.8291432137492527
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,5000.0,1,6902,1726,0.8352916155654988,0.693406343460083,0.03512704372406006,0.2988505747126437,0.9329111576080322,0.5102192163467407,0.4226919412612915,1.828451629650173
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,5000.0,2,6902,1726,0.8318820190294279,0.6932832598686218,0.035141151398420334,0.28735632183908044,0.9348331093788147,0.5102192163467407,0.424613893032074,1.8322185433790286
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,5000.0,3,6902,1726,0.8315478334100792,0.6921488046646118,0.03527112305164337,0.3448275862068966,0.9338828921318054,0.5102192163467407,0.4236636757850647,1.8303561728203244
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,64,5000.0,4,6902,1726,0.8342563318894365,0.6959340572357178,0.03483744338154793,0.2988505747126437,0.9347380995750427,0.5102192163467407,0.424518883228302,1.8320323296874859
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,128,,0,6902,1726,0.8324786719932363,0.6698817014694214,0.037822313606739044,0.3333333333333333,0.9481761455535889,0.5102192163467407,0.43795692920684814,1.858370118520225
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,128,,1,6902,1726,0.8309870185797387,0.6680933833122253,0.03802720457315445,0.2988505747126437,0.9463133811950684,0.5102192163467407,0.43609416484832764,1.854719208678259
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,128,,2,6902,1726,0.8337502550743348,0.6698201894760132,0.03782936558127403,0.3218390804597701,0.9410558342933655,0.5102192163467407,0.43083661794662476,1.8444147224236098
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,128,,3,6902,1726,0.8355630219506435,0.6742244958877563,0.037324752658605576,0.3103448275862069,0.9404750466346741,0.5102192163467407,0.43025583028793335,1.8432764123794487
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,xgb,128,,4,6902,1726,0.8323249065476194,0.6671522259712219,0.03813503682613373,0.2988505747126437,0.9410179257392883,0.5102192163467407,0.4307987093925476,1.8443404238616141
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,0.0,0,6902,1726,0.8682949330560965,0.7592476606369019,0.02758347988128662,0.367816091954023,0.9597071409225464,0.5102192163467407,0.44948792457580566,1.8809701990336982
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,5000.0,0,6902,1726,0.8528546647629673,0.7301746606826782,0.030914435163140297,0.3218390804597701,0.9380636215209961,0.5102192163467407,0.42784440517425537,1.8385501593563969
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,5000.0,1,6902,1726,0.8534061031663408,0.7280995845794678,0.03115217573940754,0.3563218390804598,0.9457021951675415,0.5102192163467407,0.4354829788208008,1.8535213195985354
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,5000.0,2,6902,1726,0.8580883446512193,0.741310715675354,0.02963855117559433,0.3793103448275862,0.9583917260169983,0.5102192163467407,0.44817250967025757,1.8783920622967742
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,5000.0,3,6902,1726,0.8593032706721504,0.7426115274429321,0.029489515349268913,0.367816091954023,0.9479840397834778,0.5102192163467407,0.43776482343673706,1.857993602379797
DMS,DMS,dms_VmaxRatio_logfit,within_position,within_seed2,tabpfn,128,5000.0,4,6902,1726,0.857475588638634,0.739392876625061,0.02985827624797821,0.3448275862068966,0.9452162384986877,0.5102192163467407,0.434997022151947,1.8525688727810021
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,xgb,64,,0,6903,1725,0.61739700633051,0.3693113327026367,0.0711308941245079,0.13793103448275862,0.8432135581970215,0.5033209919929504,0.33989256620407104,1.6752998019379879
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,xgb,64,,1,6903,1725,0.6154596203657803,0.3626914620399475,0.07187750190496445,0.19540229885057472,0.8057896494865417,0.5033209919929504,0.3024686574935913,1.6009458423260592
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,xgb,64,,2,6903,1725,0.6056507396504865,0.3541710376739502,0.07283846288919449,0.16091954022988506,0.8227995038032532,0.5033209919929504,0.31947851181030273,1.634741083508747
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,xgb,64,,3,6903,1725,0.615531709885272,0.3665911555290222,0.07143768668174744,0.1839080459770115,0.8466476798057556,0.5033209919929504,0.3433266878128052,1.6821227273938415
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,xgb,64,,4,6903,1725,0.616874981516482,0.36719024181365967,0.07137012481689453,0.22988505747126436,0.8375654816627502,0.5033209919929504,0.3342444896697998,1.6640781826848208
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,tabpfn,64,0.0,1,6903,1725,0.6426343818349621,0.3976566791534424,0.06793402880430222,0.21839080459770116,0.852575957775116,0.5033209919929504,0.3492549657821655,1.6939010518898787
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,tabpfn,64,5000.0,0,6903,1725,0.6228900355456317,0.3727034330368042,0.07074832916259766,0.2413793103448276,0.8731626272201538,0.5033209919929504,0.36984163522720337,1.7348027225385096
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,poscv_fold1,tabpfn,64,5000.0,1,6903,1725,0.6443050436830554,0.4010457992553711,0.06755179911851883,0.25287356321839083,0.8620744943618774,0.5033209919929504,0.358753502368927,1.7127727793518133
