dataset,task_name,target,split,split_id,model,pca_dim,tabpfn_cap,spearman,r2,top5_precision,top5_enrich_diff,n_runs,n_train,n_test
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold4,tabpfn,128,5000.0,0.6721594064136168,0.43612496852874755,0.3264367816091954,0.329471480846405,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold4,xgb,64,,0.6189996969301201,0.3657562375068665,0.21379310344827585,0.29470775127410886,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold4,xgb,128,,0.645597126007761,0.3934506058692932,0.264367816091954,0.32179504632949824,5,6902,1726
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold5,tabpfn,64,0.0,0.6536167087029113,0.4355462789535522,0.1724137931034483,0.3884188532829284,1,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold5,tabpfn,64,5000.0,0.6547165143235139,0.4376654505729675,0.16091954022988503,0.37885782718658445,5,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold5,tabpfn,128,0.0,0.6654603298990909,0.4579447507858276,0.1379310344827586,0.3744276165962219,1,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold5,tabpfn,128,5000.0,0.6600498506181064,0.44517519474029543,0.17701149425287352,0.36982384920120237,5,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold5,xgb,64,,0.6099177687129476,0.38727110624313354,0.11494252873563211,0.33073401451110834,5,6903,1725
DMS,DMS,dms_enrichment_mean,pos_holdout,poscv_fold5,xgb,128,,0.6296695222947173,0.4067960619926453,0.1402298850574712,0.348895800113678,5,6903,1725
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,0.0,0.8548231317845216,0.7416199445724487,0.367816091954023,0.4347068071365356,1,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,64,5000.0,0.8378758074932708,0.7148886084556579,0.3218390804597701,0.4275801181793213,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,0.0,0.8804358593542218,0.7901018857955933,0.4137931034482758,0.4386013746261596,1,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,tabpfn,128,5000.0,0.8636556713085358,0.7619843363761902,0.37011494252873567,0.4314424872398376,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,64,,0.8045626506761838,0.6437162518501282,0.24137931034482754,0.4151214838027954,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed0,xgb,128,,0.8333230453910815,0.6882543921470642,0.2574712643678161,0.41245614290237426,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,64,0.0,0.8602746952578244,0.7422435879707336,0.3448275862068966,0.424365758895874,1,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,64,5000.0,0.8439440747932275,0.7120559811592102,0.3310344827586207,0.4218998193740845,5,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,128,0.0,0.8879497472856955,0.7863601446151733,0.4137931034482758,0.4285249710083008,1,6902,1726
DMS,DMS,dms_enrichment_mean,within_position,within_seed1,tabpfn,128,5000.0,0.8717979786181269,0.7594133734703064,0.3747126436781609,0.42573540210723876,5,6902,1726
